0.00.034.643 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.346.305 W srv  llama_server: -----------------
0.00.346.309 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.346.309 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.346.309 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.346.310 W srv  llama_server: -----------------
0.00.347.781 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
VMEAN tap: no live V layers — add disabled
VMEAN tap: no live V layers — add disabled
0.02.851.135 W srv    load_model: [spec] failed to measure draft model memory: MTP and target memory devices differ
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
TCQ decode: context-adaptive V alpha enabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.08.406.490 I srv    load_model: tensor-split target: draft model falls back to layer split (use --spec-draft-device to pin it to one GPU)
0.09.287.317 I srv    load_model: computation-frontier ratchet: legacy reads authoritative, flip after 1024 qualifying agreements
0.09.287.325 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.09.288.095 I slot   load_model: id  0 | task -1 | speculative decoding context initialized
0.09.288.104 I slot   load_model: id  1 | task -1 | speculative decoding context initialized
0.09.288.104 I slot   load_model: id  2 | task -1 | speculative decoding context initialized
0.09.288.105 I slot   load_model: id  3 | task -1 | speculative decoding context initialized
0.09.297.700 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.297.754 I srv  llama_server: model loaded
0.09.297.759 I srv  llama_server: listening on http://127.0.0.1:8300
0.10.128.567 I slot cache_plan_s: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.10.128.684 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.128.704 I slot   operator(): id  0 | task 0 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (0/14187/0/0/0/14187/0)
0.11.098.536 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.21.748.217 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2090, progress = 0.15, t =  11.62 s / 179.87 tokens per second
0.32.723.919 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4138, progress = 0.29, t =  22.60 s / 183.14 tokens per second
0.43.862.579 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6186, progress = 0.44, t =  33.73 s / 183.38 tokens per second
0.55.308.940 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8234, progress = 0.58, t =  45.18 s / 182.25 tokens per second
1.06.836.249 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10282, progress = 0.72, t =  56.71 s / 181.32 tokens per second
1.18.587.611 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12330, progress = 0.87, t =  68.46 s / 180.11 tokens per second
1.26.709.867 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13671, progress = 0.96, t =  76.58 s / 178.52 tokens per second
1.26.840.253 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 13670, pos_max = 13670, n_tokens = 13671, size = 149.626 MiB)
1.29.863.348 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14183, progress = 1.00, t =  79.73 s / 177.88 tokens per second
1.29.995.956 W slot   operator(): id  0 | task 0 | created context checkpoint 3 of 32 (pos_min = 14182, pos_max = 14182, n_tokens = 14183, size = 149.626 MiB)
1.34.406.188 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =  23.45 t/s, tg_3s =  23.45 t/s
1.37.509.668 I slot print_timing: id  0 | task 0 | n_decoded =    174, tg =  23.61 t/s, tg_3s =  23.84 t/s
1.40.576.274 I slot print_timing: id  0 | task 0 | n_decoded =    251, tg =  24.05 t/s, tg_3s =  25.11 t/s
1.43.640.532 I slot print_timing: id  0 | task 0 | n_decoded =    323, tg =  23.93 t/s, tg_3s =  23.50 t/s
1.46.722.774 I slot print_timing: id  0 | task 0 | prompt eval time =   80012.37 ms / 14187 tokens (    5.64 ms per token,   177.31 tokens per second)
1.46.722.782 I slot print_timing: id  0 | task 0 |        eval time =   16581.68 ms /   400 tokens (   41.45 ms per token,    24.12 tokens per second)
1.46.722.783 I slot print_timing: id  0 | task 0 |       total time =   96594.05 ms / 14587 tokens
1.46.722.789 I slot print_timing: id  0 | task 0 |    graphs reused =        145
1.46.722.795 I slot print_timing: id  0 | task 0 | draft acceptance = 0.76220 (  250 accepted /   328 generated), mean len =  2.69
1.46.722.800 I slot print_timing: id  0 | task 0 | verify/rollback histogram (draft/rejected:cycles) = (2/0:81, 2/1:22, 2/2:13, 3/0:16, 3/1:6, 3/2:6, 3/3:4)
1.46.723.638 I slot      release: id  0 | task 0 | stop processing: n_tokens = 14586, truncated = 0
1.46.880.831 I slot cache_plan_s: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.46.880.947 I slot launch_slot_: id  0 | task 160 | processing task, is_child = 0
1.46.880.971 I slot   operator(): id  0 | task 160 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (14586/14187/14187/0/399/0/0)
1.47.708.964 W slot   operator(): id  0 | task 160 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
1.58.268.886 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =   2090, progress = 0.15, t =  11.39 s / 183.53 tokens per second
2.09.207.793 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =   4138, progress = 0.29, t =  22.33 s / 185.34 tokens per second
2.20.379.172 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =   6186, progress = 0.44, t =  33.50 s / 184.67 tokens per second
2.31.719.338 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =   8234, progress = 0.58, t =  44.84 s / 183.64 tokens per second
2.43.261.859 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =  10282, progress = 0.72, t =  56.38 s / 182.37 tokens per second
2.55.015.582 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =  12330, progress = 0.87, t =  68.13 s / 180.97 tokens per second
3.03.122.619 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =  13671, progress = 0.96, t =  76.24 s / 179.31 tokens per second
3.03.252.716 W slot   operator(): id  0 | task 160 | created context checkpoint 2 of 32 (pos_min = 13670, pos_max = 13670, n_tokens = 13671, size = 149.626 MiB)
3.06.275.256 I slot print_timing: id  0 | task 160 | prompt processing, n_tokens =  14183, progress = 1.00, t =  79.39 s / 178.64 tokens per second
